model,beta,n_char,p,q,sigma_max,sigma_min,label,mm,beta_sd,Method,Draw,mse_loss_shannon,mse_loss_simpson,mse_loss_euclidean,mse_loss_bray_curtis,mse_loss_bray_curtis_subset,mse_loss_euclidean_subset,time
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.87,2.7444253653982305,0.24170628299566865,0.7383003064568732,0.532609805809141,0.2663049029045705,0.3691501532284366,0.3059999999999974
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.88,2.7488064995503567,0.2549940952298955,0.7671745550388576,0.5445143423192786,0.2722571711596393,0.3835872775194288,0.2959999999999994
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.89,2.914608941791245,0.27974363700898547,0.7998374836432219,0.5624911507224152,0.2812455753612076,0.39991874182161097,0.30500000000000327
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.90,2.8725687218083715,0.2706802067516633,0.7503849225595243,0.526928586150245,0.2634642930751225,0.37519246127976214,0.3019999999999996
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.91,2.4958413193709514,0.21495174739005735,0.6751457335142511,0.5219401290022012,0.2609700645011006,0.33757286675712556,0.3039999999999985
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.92,2.795686906336525,0.2580936695913181,0.702955858958656,0.5027559123169554,0.2513779561584777,0.351477929479328,0.3059999999999974
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.93,2.688973247225,0.24883314385869926,0.7282386896837838,0.5336918551722376,0.2668459275861188,0.3641193448418919,0.3400000000000034
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.94,2.915292605583647,0.25170826383325884,0.7540640247418965,0.542053546937883,0.2710267734689415,0.37703201237094824,0.31700000000000017
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.95,3.2907930522138673,0.3191300663122874,0.8131889463070434,0.5379723728537219,0.26898618642686095,0.4065944731535217,0.2879999999999967
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.96,2.852827576940037,0.2552422784608962,0.7612373709183203,0.5425315890344495,0.27126579451722477,0.38061868545916017,0.3060000000000045
