name,label,n,q,mm,gamma1,sigma_min,sigma_max,Method,Draw,mse_loss_shannon,time
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.23,5.611820283398649,27.44800000000032
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.24,4.205207533462447,26.665000000000873
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.25,5.020909250393848,26.527000000000044
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.26,4.706316942602181,26.550999999999476
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.27,5.077597169113923,26.639999999999418
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.28,5.4589614511674105,27.43000000000029
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.29,4.279678473405213,26.447000000000116
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.30,4.92085178496937,26.347999999999956
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.31,4.9214681071599635,26.657999999999447
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.32,4.39953797631057,26.945000000001528
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.33,4.103054170741764,26.510999999998603
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.34,5.124329281681813,26.873999999999796
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.35,5.7413842924167,27.665000000000873
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.36,4.44584382899549,26.761000000000422
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.37,4.406463327530615,26.771999999999025
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.38,4.74317239008205,26.929000000000087
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.39,4.757525350492983,26.65899999999965
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.40,4.978634188041816,27.963999999999942
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.41,4.133802414028399,27.267000000001644
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.42,4.28447378361487,26.677999999999884
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.43,5.8213901502749,26.841999999998734
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.44,4.692024770334078,28.25799999999981
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.45,4.941668653739399,26.898000000001048
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.46,4.216285708359858,26.126000000000204
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.47,4.954955174284015,27.755999999999403
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.48,4.441971955043319,26.738999999999578
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.49,4.339371755369287,27.06999999999971
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.50,4.143522873707115,26.65100000000166
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.51,4.607788081560673,26.62199999999939
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.52,5.367941480926034,26.487999999999374
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.53,4.905102394858847,26.210000000000946
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.54,5.400442560076516,26.680999999998676
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.55,5.035702751231329,26.400000000001455
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.56,4.354834524098811,27.44999999999891
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.57,4.959155000857332,26.58100000000013
