model,beta,n,p,q_char,sigma_max,sigma_min,Method,Draw,mse_loss_shannon,mse_loss_simpson,mse_loss_euclidean,mse_loss_bray_curtis,mse_loss_bray_curtis_subset,mse_loss_euclidean_subset,time
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.29,12.86664197681087,0.4980075005214298,1.1744296048835956,0.6750285115538949,0.33751425577694744,0.5872148024417978,74.0139999999999
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.30,12.610709350690717,0.4907720199631584,1.1770211312146417,0.6788141407301348,0.3394070703650674,0.5885105656073208,74.49000000000001
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.31,13.347570985408762,0.5573784176851626,1.254772219799894,0.6815360275641174,0.3407680137820587,0.627386109899947,74.40599999999995
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.32,13.498867800126833,0.5763152459338966,1.2880163134577607,0.6812138507738105,0.34060692538690523,0.6440081567288803,74.6510000000003
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.33,13.310589442080866,0.5517955929032563,1.2339073496506807,0.6780836745160673,0.33904183725803366,0.6169536748253404,75.096
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.34,12.875561611594406,0.5322036178226103,1.2086032951091705,0.6669131623222413,0.33345658116112065,0.6043016475545853,75.82600000000002
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.35,12.76844508031997,0.507711494866358,1.1744689459156938,0.6774779233380441,0.33873896166902207,0.5872344729578469,67.02499999999964
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.36,13.190977215869326,0.547100681259932,1.216670256552514,0.6738842732316048,0.3369421366158024,0.608335128276257,58.11500000000024
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.37,13.21361100075524,0.5757997592246613,1.263677741001843,0.6758890827333637,0.33794454136668184,0.6318388705009215,59.4369999999999
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.38,13.016187524422389,0.539929633521162,1.2150172624688522,0.6704542530550092,0.3352271265275046,0.6075086312344261,60.057000000000244
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.39,12.106688337008492,0.4689827398202044,1.1075001573914698,0.669257642877279,0.3346288214386395,0.5537500786957349,59.84599999999955
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.40,12.869818700163275,0.5453506948671067,1.2257960523514873,0.6752194570646942,0.3376097285323471,0.6128980261757436,58.47700000000032
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.41,13.763837130902527,0.5972211510174451,1.293396945870991,0.6669333932617475,0.33346669663087375,0.6466984729354955,58.42499999999973
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.42,13.000962550717958,0.5291023029535378,1.212379482930658,0.6812140897820661,0.34060704489103305,0.606189741465329,57.19200000000001
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.43,14.069674198718454,0.6128418141952459,1.3594209604618788,0.6858608354598998,0.3429304177299499,0.6797104802309394,57.28600000000006
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.44,13.580724695728405,0.5998821729121102,1.2959174356738625,0.6651626060486566,0.3325813030243283,0.6479587178369313,57.190000000000055
