	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_57	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_59	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_58	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	Thioprofundum_hispidum
ASV_61	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales			
ASV_60	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_62	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_63	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_64	Bacteria	Firmicutes					
ASV_65	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_66	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_67	Bacteria	Acidobacteria	Acidobacteria_Gp9	Gp9			
ASV_68	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	Thioprofundum_hispidum
ASV_69	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_70	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_71	Bacteria	Firmicutes					
ASV_72	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Nitrosospira_multiformis
ASV_73	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	
ASV_74	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Skermanella	Skermanella_aerolata
ASV_76	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_75	Bacteria						
ASV_77	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_78	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_79	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
ASV_82	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
ASV_80	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_81	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_83	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Pelagibius	Pelagibius_litoralis
ASV_84	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
ASV_85	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_86	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_87	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_88	Bacteria	Acidobacteria	Acidobacteria_Gp21	Gp21			
ASV_90	Bacteria	Acidobacteria	Acidobacteria_Gp21	Gp21			
ASV_89	Bacteria	Firmicutes					
ASV_91	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales			
ASV_92	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Aminobacter	Aminobacter_aganoensis
ASV_93	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_94	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_96	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_95	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales			
ASV_97	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_98	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	
ASV_99	Bacteria						
ASV_101	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae		
ASV_100	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales			
ASV_102	Bacteria						
ASV_104	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_103	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_taiwanensis
ASV_105	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Erythrobacter_pelagi
ASV_108	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_106	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae		
ASV_107	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_109	Bacteria	Acidobacteria					
ASV_110	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	
ASV_111	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales			
ASV_113	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_112	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_114	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Aminobacter	Aminobacter_anthyllidis
ASV_117	Archaea	Euryarchaeota	Thermoplasmata				
ASV_116	Bacteria	Proteobacteria					
ASV_115	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_118	Bacteria	Proteobacteria					
ASV_119	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_121	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_120	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas_alkaliphila
ASV_122	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae		
ASV_123	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_124	Bacteria	Acidobacteria	Acidobacteria_Gp9	Gp9			
ASV_125	Bacteria						
ASV_126	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Methyloligella	Methyloligella_solikamskensis
ASV_129	Bacteria	Acidobacteria	Acidobacteria_Gp16				
ASV_128	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	Pedomicrobium_manganicum
ASV_127	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_131	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_130	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_133	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_132	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_135	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae		
ASV_134	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
ASV_136	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae		
ASV_137	Bacteria	Acidobacteria	Acidobacteria_Gp9	Gp9			
ASV_138	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_139	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia_aurea
ASV_140	Bacteria	Acidobacteria	Acidobacteria_Gp9	Gp9			
ASV_141	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cloacibacterium	Cloacibacterium_normanense
ASV_143	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_142	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_146	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_144	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
ASV_145	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_147	Bacteria						
ASV_148	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_149	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_150	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_152	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_151	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	
ASV_153	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_154	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	Devosia_albogilva
ASV_155	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Methyloligella	Methyloligella_solikamskensis
ASV_157	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_156	Bacteria	Acidobacteria					
ASV_158	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	Blastopirellula_cremea
ASV_159	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia/Shigella	Escherichia_fergusonii
ASV_160	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	Thioprofundum_hispidum
ASV_161	Bacteria	Proteobacteria					
ASV_163	Bacteria						
ASV_162	Bacteria	Acidobacteria	Acidobacteria_Gp9	Gp9			
ASV_164	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Loktanella	
ASV_165	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Anderseniella	Anderseniella_baltica
ASV_166	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales			
ASV_168	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_167	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_169	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Moheibacter	Moheibacter_sediminis
ASV_170	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_caeni
ASV_171	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_172	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_173	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Methyloceanibacter	Methyloceanibacter_caenitepidi
ASV_174	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		
ASV_175	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_177	Bacteria	Proteobacteria					
ASV_176	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	
ASV_178	Bacteria						
ASV_179	Bacteria	Acidobacteria	Acidobacteria_Gp9	Gp9			
ASV_180	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_181	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Rhodothermaceae	Rubrivirga	Rubrivirga_marina
ASV_182	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae		
ASV_183	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	
ASV_184	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_185	Bacteria						
ASV_186	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_187	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_188	Bacteria	Acidobacteria	Acidobacteria_Gp9	Gp9			
ASV_189	Bacteria						
ASV_191	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_lini
ASV_192	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	
ASV_190	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Tepidimonas	Tepidimonas_fonticaldi
ASV_193	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_194	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_196	Bacteria	Proteobacteria					
ASV_195	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_197	Bacteria	Firmicutes					
ASV_198	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
ASV_199	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	Idiomarina_loihiensis
ASV_200	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_202	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_204	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_201	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae		
ASV_203	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
ASV_205	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_207	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_206	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales			
ASV_208	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	Thioprofundum_hispidum
ASV_209	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	
ASV_210	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Methyloligella	Methyloligella_solikamskensis
ASV_211	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_212	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	
ASV_213	Bacteria						
ASV_214	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_215	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_217	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Rhodothermaceae	Salinibacter	
ASV_218	Bacteria						
ASV_216	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Anoxybacillus	
ASV_219	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae	Perspicuibacter	Perspicuibacter_marinus
ASV_220	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Skermanella	Skermanella_aerolata
ASV_222	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_221	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_223	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_224	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales			
ASV_225	Bacteria						
ASV_226	Bacteria	Firmicutes					
ASV_227	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	
ASV_228	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia_pickettii
ASV_229	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_230	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_231	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_232	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_233	Bacteria	Acidobacteria	Acidobacteria_Gp17	Gp17			
ASV_234	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_235	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_236	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_237	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_238	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	
ASV_239	Bacteria						
ASV_240	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Phyllobacterium	Phyllobacterium_myrsinacearum
ASV_241	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_243	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_242	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_245	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium_indicum
ASV_244	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium_nitrogenifigens
ASV_246	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_247	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_248	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_249	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_250	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_251	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Jiella	Jiella_aquimaris
ASV_253	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Skermanella	Skermanella_aerolata
ASV_252	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_254	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax_venustensis
ASV_255	Bacteria	Acidobacteria	Acidobacteria_Gp10	Gp10			
ASV_257	Bacteria	Cyanobacteria/Chloroplast	Cyanobacteria				
ASV_256	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	Thioprofundum_hispidum
ASV_258	Bacteria						
ASV_259	Bacteria						
ASV_261	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_260	Bacteria						
ASV_263	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	
ASV_262	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_264	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_265	Bacteria	Acidobacteria	Acidobacteria_Gp2				
ASV_266	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_269	Archaea	Euryarchaeota	Thermoplasmata				
ASV_267	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
ASV_268	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_270	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_272	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Nitrosospira_multiformis
ASV_271	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales			
ASV_274	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_273	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	
ASV_276	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
ASV_275	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
ASV_277	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	Thioprofundum_hispidum
ASV_278	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	Thioprofundum_hispidum
ASV_280	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Methyloligella	Methyloligella_solikamskensis
ASV_279	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_281	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae		
ASV_282	Bacteria	Proteobacteria					
ASV_283	Bacteria	Firmicutes					
ASV_284	Bacteria	Acidobacteria	Acidobacteria_Gp10	Gp10			
ASV_285	Bacteria	Proteobacteria					
ASV_286	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	Thioprofundum_hispidum
ASV_287	Bacteria						
ASV_288	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_289	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_291	Bacteria	Proteobacteria	Deltaproteobacteria				
ASV_290	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae		
ASV_292	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Martelella	Martelella_mediterranea
ASV_293	Bacteria	Proteobacteria					
ASV_295	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_294	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_296	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ahrensia	Ahrensia_kielensis
ASV_297	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	Blastopirellula_cremea
ASV_298	Bacteria	Acidobacteria	Acidobacteria_Gp21	Gp21			
ASV_300	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_299	Bacteria						
ASV_301	Bacteria						
ASV_302	Bacteria	Acidobacteria	Acidobacteria_Gp4	Gp4			
ASV_303	Bacteria	Proteobacteria					
ASV_304	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales			
ASV_305	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_306	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_307	Bacteria						
ASV_310	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_311	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_309	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Iamia	Iamia_majanohamensis
ASV_308	Bacteria	Firmicutes					
ASV_312	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_313	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_316	Bacteria						
ASV_314	Bacteria	Acidobacteria	Acidobacteria_Gp17	Gp17			
ASV_317	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales			
ASV_318	Bacteria	Acidobacteria	Acidobacteria_Gp16				
ASV_320	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Moritellaceae	Moritella	Moritella_viscosa
ASV_319	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_321	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Methyloceanibacter	Methyloceanibacter_caenitepidi
ASV_322	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae		
ASV_323	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_324	Bacteria	Acidobacteria	Acidobacteria_Gp4	Gp4			
ASV_315	Bacteria	Acidobacteria	Acidobacteria_Gp21				
ASV_325	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae		
ASV_327	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_326	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_329	Bacteria	Acidobacteria	Acidobacteria_Gp9	Gp9			
ASV_328	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Nitrosospira_multiformis
ASV_330	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_331	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	Thioprofundum_hispidum
ASV_332	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	
ASV_334	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_333	Bacteria	Proteobacteria					
ASV_335	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Parasphingopyxis	Parasphingopyxis_lamellibrachiae
ASV_336	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Nitrosospira_multiformis
ASV_337	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	
ASV_338	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_339	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	Blastopirellula_cremea
ASV_340	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_344	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_342	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae		
ASV_343	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
ASV_341	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales			
ASV_348	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_345	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Rhodothermaceae	Rubrivirga	Rubrivirga_marina
ASV_347	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_346	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_349	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
ASV_352	Bacteria						
ASV_351	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	Marinicella	Marinicella_litoralis	
ASV_350	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	
ASV_353	Bacteria	Firmicutes					
ASV_354	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	
ASV_356	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	Thioprofundum_hispidum
ASV_355	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_357	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae		
ASV_358	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
ASV_359	Bacteria						
ASV_360	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales			
ASV_361	Bacteria						
ASV_362	Bacteria	Proteobacteria	Deltaproteobacteria				
ASV_363	Bacteria	Proteobacteria					
ASV_364	Bacteria						
ASV_366	Archaea	Euryarchaeota					
