	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_1367	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_1368	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae		
ASV_1366	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	
ASV_1365	Bacteria	Acidobacteria	Acidobacteria_Gp22	Gp22			
ASV_1370	Bacteria	Acidobacteria	Acidobacteria_Gp21				
ASV_1369	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_1371	Bacteria						
ASV_1372	Bacteria						
ASV_1373	Bacteria	Acidobacteria	Acidobacteria_Gp16				
ASV_1375	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_1374	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_1377	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
ASV_1376	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Jeotgalibacillus	Jeotgalibacillus_marinus
ASV_1379	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Haliea	
ASV_1380	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales			
ASV_1381	Bacteria	Proteobacteria	Deltaproteobacteria				
ASV_1378	Bacteria	Proteobacteria					
ASV_1382	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	Thioprofundum_hispidum
ASV_1384	Bacteria	Acidobacteria					
ASV_1385	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_1386	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	Blastopirellula_cremea
ASV_1383	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_1389	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Rhodothermaceae		
ASV_1388	Bacteria	Poribacteria					
ASV_1387	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_1390	Bacteria	Hydrogenedentes					
ASV_1394	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae		
ASV_1392	Bacteria						
ASV_1393	Bacteria	Proteobacteria					
ASV_1391	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_1396	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	Haliangium_ochraceum
ASV_1397	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	
ASV_1395	Bacteria	Proteobacteria	Deltaproteobacteria				
ASV_1398	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_1399	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	
ASV_1401	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_1400	Bacteria	Acidobacteria	Acidobacteria_Gp9	Gp9			
ASV_1402	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_1403	Bacteria	Firmicutes					
ASV_1404	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_1405	Bacteria	Firmicutes	Clostridia				
ASV_1409	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	Chloroplast	Streptophyta		
ASV_1407	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto	
ASV_1408	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_Incertae_Sedis_X	Thermicanus	Thermicanus_aegyptius
ASV_1406	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae		
ASV_1413	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_1410	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Zunongwangia	Zunongwangia_profunda
ASV_1412	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_1411	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
ASV_1414	Archaea	Euryarchaeota					
ASV_1415	Bacteria						
ASV_1417	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
ASV_1418	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae		
ASV_1416	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales			
ASV_1419	Bacteria	Proteobacteria					
ASV_1420	Bacteria	Acidobacteria	Acidobacteria_Gp16				
ASV_1422	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales			
ASV_1421	Bacteria	Acidobacteria	Acidobacteria_Gp10	Gp10			
ASV_1423	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_1424	Bacteria	Acidobacteria	Acidobacteria_Gp10				
ASV_1426	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Nitrosospira_multiformis
ASV_1425	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina	Planktomarina_temperata
ASV_1427	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_1428	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	Colwellia_rossensis
ASV_1430	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_1429	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae		
ASV_1431	Bacteria						
ASV_1433	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae		
ASV_1434	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_1432	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales			
ASV_1435	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_1436	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales			
ASV_1437	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales			
ASV_1438	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Pirellula	Pirellula_staleyi
ASV_1440	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rhodopirellula	Rhodopirellula_lusitana
ASV_1439	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales			
