name,label,n,sigma_max,sigma_min,p,q,mm,beta_sd,Method,Draw,mse_loss_shannon,mse_loss_simpson,mse_loss_euclidean,mse_loss_bray_curtis,mse_loss_bray_curtis_subset,mse_loss_euclidean_subset,time
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.28,0.8183632422586022,0.04233919703287724,0.15495436149371622,0.16329084580786135,0.08164542290393068,0.07747718074685811,1.0790000000000006
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.29,0.39056533372193153,0.0168235053076251,0.027909268128742483,0.026581394257757365,0.013290697128878683,0.013954634064371241,1.0919999999999987
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.30,0.02030945611026453,7.837024730878092e-4,0.011820805417000167,0.04177678917257321,0.020888394586286604,0.005910402708500084,1.0820000000000007
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.31,0.05719541523844733,0.0014662431800054293,0.006468760169391965,0.02272745233474331,0.011363726167371656,0.0032343800846959827,1.2590000000000003
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.32,2.1935129485194893,0.2683053902161048,0.1934550593438448,0.129818682517832,0.064909341258916,0.0967275296719224,1.0790000000000006
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.33,0.7414665071540115,0.031821923479538994,0.06038763255625172,0.03939416744232269,0.019697083721161347,0.03019381627812586,1.0769999999999982
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.34,0.0037120528698257145,7.353187716356848e-5,0.005960986080890225,0.0257872210109763,0.01289361050548815,0.0029804930404451124,1.0769999999999982
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.35,0.030827456790971437,0.002270431320085067,0.01402093685458748,0.020938001354297645,0.010469000677148822,0.00701046842729374,1.0820000000000007
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.36,0.09213238194943081,0.0030639493228067404,0.018141746005631478,0.041568491109156655,0.020784245554578328,0.009070873002815739,1.0790000000000006
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.37,0.43166385165352295,0.02520911344543491,0.11368036761258439,0.09546768238135492,0.04773384119067746,0.056840183806292195,1.0660000000000025
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.38,0.404651798790744,0.013261325995878715,0.059082651337350627,0.15999348017716866,0.07999674008858433,0.029541325668675313,1.2590000000000003
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.39,0.9491258333753615,0.09995711042312642,0.1958792693904852,0.13726133170066734,0.06863066585033367,0.0979396346952426,1.0730000000000004
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.40,0.2755320991994605,0.008178969594164002,0.023735700214334295,0.04700102407526692,0.02350051203763346,0.011867850107167148,1.0679999999999978
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.41,0.11390155435139639,0.0024128739937578345,0.002787824348168968,0.012654428118660651,0.006327214059330326,0.001393912174084484,1.0730000000000004
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.42,0.05850848915217742,0.0019191947302036264,0.015070935738788397,0.036613399761780616,0.018306699880890308,0.007535467869394199,1.088000000000001
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.43,0.45255696287312136,0.019839795828618372,0.02477328052802649,0.03317989183596656,0.01658994591798328,0.012386640264013244,1.0719999999999956
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.44,0.023148036645780606,3.5960236728506016e-4,0.010372279380266396,0.048227423102096253,0.024113711551048127,0.005186139690133198,1.118000000000002
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.45,0.09437515170189271,0.00407643656093753,0.04111258824588437,0.07907954537574308,0.03953977268787154,0.020556294122942183,1.3800000000000026
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.46,0.508809920449656,0.03083067616631558,0.08964557672850461,0.10643275864032256,0.05321637932016128,0.044822788364252304,1.0719999999999956
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.47,0.2351688965673944,0.008406070167883143,0.03115324553047258,0.05476975818732563,0.027384879093662814,0.01557662276523629,1.0790000000000006
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.48,2.0956611410526502,0.2747735207129429,0.38025091236983516,0.21102918058541476,0.10551459029270738,0.19012545618491758,1.100999999999999
